hash,p,d,q,P,D,Q,s,AIC,MACAPE
84146,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,
85057,0.0,0.0,0.0,0.0,0.0,1.0,12.0,,
85968,0.0,0.0,0.0,0.0,0.0,2.0,12.0,,
86879,0.0,0.0,0.0,0.0,0.0,3.0,12.0,,
13896,0.0,0.0,0.0,0.0,1.0,0.0,12.0,,
14807,0.0,0.0,0.0,0.0,1.0,1.0,12.0,2262.7248117,0.37407626685
15718,0.0,0.0,0.0,0.0,1.0,2.0,12.0,,
16629,0.0,0.0,0.0,0.0,1.0,3.0,12.0,,
43665,0.0,0.0,0.0,0.0,2.0,0.0,12.0,,
44576,0.0,0.0,0.0,0.0,2.0,1.0,12.0,2041.54337572,0.450965829532
45487,0.0,0.0,0.0,0.0,2.0,2.0,12.0,,
46398,0.0,0.0,0.0,0.0,2.0,3.0,12.0,,
98556,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2575.1444243,0.387938123855
99467,0.0,0.0,0.0,1.0,0.0,1.0,12.0,,
359,0.0,0.0,0.0,1.0,0.0,2.0,12.0,,
1270,0.0,0.0,0.0,1.0,0.0,3.0,12.0,2566.51175818,0.373672579282
28306,0.0,0.0,0.0,1.0,1.0,0.0,12.0,2260.61191021,0.374130590036
29217,0.0,0.0,0.0,1.0,1.0,1.0,12.0,2264.24620134,0.375285151131
30128,0.0,0.0,0.0,1.0,1.0,2.0,12.0,,
31039,0.0,0.0,0.0,1.0,1.0,3.0,12.0,,
58075,0.0,0.0,0.0,1.0,2.0,0.0,12.0,2047.29497346,0.489070044661
58986,0.0,0.0,0.0,1.0,2.0,1.0,12.0,2040.1257761,0.456960298658
59897,0.0,0.0,0.0,1.0,2.0,2.0,12.0,,
60808,0.0,0.0,0.0,1.0,2.0,3.0,12.0,,
12947,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,
13858,0.0,0.0,0.0,2.0,0.0,1.0,12.0,2568.41740528,0.374292544659
14769,0.0,0.0,0.0,2.0,0.0,2.0,12.0,2581.67684143,0.372756608609
15680,0.0,0.0,0.0,2.0,0.0,3.0,12.0,2569.52170468,0.374020883743
42716,0.0,0.0,0.0,2.0,1.0,0.0,12.0,2260.52992676,0.373954672528
43627,0.0,0.0,0.0,2.0,1.0,1.0,12.0,2261.99405068,0.374881524404
44538,0.0,0.0,0.0,2.0,1.0,2.0,12.0,,
45449,0.0,0.0,0.0,2.0,1.0,3.0,12.0,,
72485,0.0,0.0,0.0,2.0,2.0,0.0,12.0,2040.61792456,0.464871320743
73396,0.0,0.0,0.0,2.0,2.0,1.0,12.0,2033.68171817,0.456252115796
74307,0.0,0.0,0.0,2.0,2.0,2.0,12.0,,
75218,0.0,0.0,0.0,2.0,2.0,3.0,12.0,,
27357,0.0,0.0,0.0,3.0,0.0,0.0,12.0,,
28268,0.0,0.0,0.0,3.0,0.0,1.0,12.0,,
29179,0.0,0.0,0.0,3.0,0.0,2.0,12.0,,
30090,0.0,0.0,0.0,3.0,0.0,3.0,12.0,3380.76167003,0.456726446641
57126,0.0,0.0,0.0,3.0,1.0,0.0,12.0,2262.29795451,0.374410875215
58037,0.0,0.0,0.0,3.0,1.0,1.0,12.0,2264.22353112,0.374274928265
58948,0.0,0.0,0.0,3.0,1.0,2.0,12.0,,
59859,0.0,0.0,0.0,3.0,1.0,3.0,12.0,,
86895,0.0,0.0,0.0,3.0,2.0,0.0,12.0,,
87806,0.0,0.0,0.0,3.0,2.0,1.0,12.0,,
88717,0.0,0.0,0.0,3.0,2.0,2.0,12.0,,
89628,0.0,0.0,0.0,3.0,2.0,3.0,12.0,,
9148,0.0,0.0,1.0,0.0,0.0,0.0,12.0,,
10059,0.0,0.0,1.0,0.0,0.0,1.0,12.0,,
10970,0.0,0.0,1.0,0.0,0.0,2.0,12.0,,
11881,0.0,0.0,1.0,0.0,0.0,3.0,12.0,,
38917,0.0,0.0,1.0,0.0,1.0,0.0,12.0,2210.00428225,0.235384472418
39828,0.0,0.0,1.0,0.0,1.0,1.0,12.0,2216.71408367,0.224183393678
40739,0.0,0.0,1.0,0.0,1.0,2.0,12.0,,
41650,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
68686,0.0,0.0,1.0,0.0,2.0,0.0,12.0,2017.89694557,0.349275619375
69597,0.0,0.0,1.0,0.0,2.0,1.0,12.0,2001.22932475,0.278855509388
70508,0.0,0.0,1.0,0.0,2.0,2.0,12.0,,
71419,0.0,0.0,1.0,0.0,2.0,3.0,12.0,,
23558,0.0,0.0,1.0,1.0,0.0,0.0,12.0,,
24469,0.0,0.0,1.0,1.0,0.0,1.0,12.0,,
