hash,p,d,q,P,D,Q,s,AIC,MACAPE
84146,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,
85057,0.0,0.0,0.0,0.0,0.0,1.0,12.0,,
85968,0.0,0.0,0.0,0.0,0.0,2.0,12.0,,
86879,0.0,0.0,0.0,0.0,0.0,3.0,12.0,,
13896,0.0,0.0,0.0,0.0,1.0,0.0,12.0,,
14807,0.0,0.0,0.0,0.0,1.0,1.0,12.0,-1038.22704414,0.00526891412963
15718,0.0,0.0,0.0,0.0,1.0,2.0,12.0,-1097.69223833,0.00430672556688
16629,0.0,0.0,0.0,0.0,1.0,3.0,12.0,,
98556,0.0,0.0,0.0,1.0,0.0,0.0,12.0,,
99467,0.0,0.0,0.0,1.0,0.0,1.0,12.0,,
359,0.0,0.0,0.0,1.0,0.0,2.0,12.0,,
1270,0.0,0.0,0.0,1.0,0.0,3.0,12.0,,
28306,0.0,0.0,0.0,1.0,1.0,0.0,12.0,-1188.7726428,0.00378745311257
29217,0.0,0.0,0.0,1.0,1.0,1.0,12.0,-1194.12993801,0.00363895317767
30128,0.0,0.0,0.0,1.0,1.0,2.0,12.0,-1185.7467637,0.00367695184552
31039,0.0,0.0,0.0,1.0,1.0,3.0,12.0,,
12947,0.0,0.0,0.0,2.0,0.0,0.0,12.0,,
13858,0.0,0.0,0.0,2.0,0.0,1.0,12.0,,
14769,0.0,0.0,0.0,2.0,0.0,2.0,12.0,,
15680,0.0,0.0,0.0,2.0,0.0,3.0,12.0,,
42716,0.0,0.0,0.0,2.0,1.0,0.0,12.0,-1194.78933305,0.00363595858397
43627,0.0,0.0,0.0,2.0,1.0,1.0,12.0,-1198.21911169,0.00361186925436
44538,0.0,0.0,0.0,2.0,1.0,2.0,12.0,-1195.11313281,0.00364854151962
45449,0.0,0.0,0.0,2.0,1.0,3.0,12.0,,
27357,0.0,0.0,0.0,3.0,0.0,0.0,12.0,,
28268,0.0,0.0,0.0,3.0,0.0,1.0,12.0,,
29179,0.0,0.0,0.0,3.0,0.0,2.0,12.0,,
30090,0.0,0.0,0.0,3.0,0.0,3.0,12.0,,
57126,0.0,0.0,0.0,3.0,1.0,0.0,12.0,-1194.00788413,0.00364237033301
58037,0.0,0.0,0.0,3.0,1.0,1.0,12.0,-1196.45132445,0.00365992213321
58948,0.0,0.0,0.0,3.0,1.0,2.0,12.0,-1190.67388181,0.00363272633122
59859,0.0,0.0,0.0,3.0,1.0,3.0,12.0,,
9148,0.0,0.0,1.0,0.0,0.0,0.0,12.0,,
10059,0.0,0.0,1.0,0.0,0.0,1.0,12.0,,
10970,0.0,0.0,1.0,0.0,0.0,2.0,12.0,,
11881,0.0,0.0,1.0,0.0,0.0,3.0,12.0,,
38917,0.0,0.0,1.0,0.0,1.0,0.0,12.0,-1130.09170096,0.00378544688648
39828,0.0,0.0,1.0,0.0,1.0,1.0,12.0,-1184.61049732,0.00325033813026
40739,0.0,0.0,1.0,0.0,1.0,2.0,12.0,-1234.02141135,0.00277770572871
41650,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
23558,0.0,0.0,1.0,1.0,0.0,0.0,12.0,,
24469,0.0,0.0,1.0,1.0,0.0,1.0,12.0,,
25380,0.0,0.0,1.0,1.0,0.0,2.0,12.0,,
26291,0.0,0.0,1.0,1.0,0.0,3.0,12.0,,
53327,0.0,0.0,1.0,1.0,1.0,0.0,12.0,-1279.42991147,0.00261375291791
54238,0.0,0.0,1.0,1.0,1.0,1.0,12.0,-1279.10851026,0.0025445015555
55149,0.0,0.0,1.0,1.0,1.0,2.0,12.0,-1288.12812511,0.0025841356443
56060,0.0,0.0,1.0,1.0,1.0,3.0,12.0,,
37968,0.0,0.0,1.0,2.0,0.0,0.0,12.0,,
38879,0.0,0.0,1.0,2.0,0.0,1.0,12.0,,
39790,0.0,0.0,1.0,2.0,0.0,2.0,12.0,,
40701,0.0,0.0,1.0,2.0,0.0,3.0,12.0,,
67737,0.0,0.0,1.0,2.0,1.0,0.0,12.0,-1303.48027761,0.00251814852862
68648,0.0,0.0,1.0,2.0,1.0,1.0,12.0,-1304.21597199,0.0024981296403
69559,0.0,0.0,1.0,2.0,1.0,2.0,12.0,-1298.57830961,0.00252537854295
70470,0.0,0.0,1.0,2.0,1.0,3.0,12.0,,
52378,0.0,0.0,1.0,3.0,0.0,0.0,12.0,,
53289,0.0,0.0,1.0,3.0,0.0,1.0,12.0,,
54200,0.0,0.0,1.0,3.0,0.0,2.0,12.0,,
55111,0.0,0.0,1.0,3.0,0.0,3.0,12.0,,
82147,0.0,0.0,1.0,3.0,1.0,0.0,12.0,-1300.71543851,0.00249613059976
